"RGI	Código no Mapa	Empreendimento	Edifício	Zona de Valor	Endereço	Bairro	Distrito	Região	Cidade	UF	CEP	Zoneamento	Setor	Quadra	Data Lançamento	Data Entrega	Data Ocupação	Data Projeto Aprovado	Tipologia	Classificação do tipo	Padrão	Status	Área Terreno	Área Total Construída	Torres	Nº de Elevadores	Registro de Incorporação	Infraestrutura	Grupo Incorporador Apelido	Grupo Incorporador	Incorporadora 1	Incorporadora 2	Incorporadora 3	Incorporadora 4	Construtora 1	Construtora 2	Vendedora 1	Vendedora 2	Vendedora 3	Vendedora 4	Banco	Unidade	Dormitórios	Suítes	Banheiros	Nº Vagas	Área Privativa	Área Total	Nº Total de Unidades	Nº Unidades por Pavimento	Nº de Pavimentos	Valor do Dolar no lançamento	(VMU)Preço de venda da unidade no lançamento	(VUV)Preço m2 privativo no lançamento	(VMU)Preço de venda da unidade atualizado INCC	(VUV)Preço m2 privativo atualizado INCC	(VMU)Preço de venda da unidade atualizado IGPM	(VUV)Preço m2 privativo atualizado IGPM	(VMU)Preço de venda da unidade atualizado CUB	(VUV)Preço m2 privativo atualizado CUB	(VMU)Preço de venda da unidade na data pesquisa	(VUV)Preço m2 privativo na data pesquisa	% Unidades Vendidas	% Unidades a Vender	Unidades Vendidas	Qtd em Estoque	VGV	Modalidade	Banco	Condições de pagamento	Responsabilidade do Comprador	Data Pesquisa";
"39681315	10	BEETHOVEN		SOROCABA - SP	R VISCONDE DE TAUNAY. 333	VILA JARDINI	SEM DISTRITO		SOROCABA	SP	18044-040	ZC	0	0	42217	43678	0	0	Res. Vertical	MEDIO	PADRAO MEDIO-C/ELEVADOR	LANÇAMENTO	1761.6		1	2		Bar. Piscina Adulta. Espaco Gourmet. Salao de Festas. Piscina Infantil. Playground. Fitness.	PLANETA	CONSTRUTORA PLANETA	CONSTRUTORA PLANETA				CONSTRUTORA PLANETA		CONSTRUTORA PLANETA					3 DORMS	3	3	3	3	130	195	60	4	15	35.137	574800	4421.54	660524.84	5080.96	681108.9	5239.3	640031.97	4923.32	666000	5123.08	85	15	51	9	34488000	Preço Fechado				43349";
"32271218	11	BELISSIMUS		SOROCABA - SP	AL DAS MILTONIAS. 244	JARDIM SIMUS	SEM DISTRITO		SOROCABA	SP	18055-143	ZR 2	0	0	43313	43891	0	0	Res. Vertical	ECONOMICO	PADRAO MEDIO-C/ELEVADOR	LANÇAMENTO	900		1	1			L FURTADO	L FURTADO CONSTRUTORA	L FURTADO CONSTRUTORA				L FURTADO CONSTRUTORA		L FURTADO CONSTRUTORA					2 DORMS	2	0	1	1	45	67.5	30	4	7	392.916	170270	3783.78	170270	3783.78	170270	3783.78	170270	3783.78	171990	3822	20	80	6	24	5108100	Preço Fechado				43367";
"32270218	12	BELLA PARK		SOROCABA - SP	R COMENDADOR VICENTE AMARAL. 2750	JARDIM GUARUJA	SEM DISTRITO		SOROCABA	SP	18050-600	ZR 3	0	0	43160	43435	0	0	Res. Vertical	ECONOMICO	PADRAO MEDIO-S/ELEVADOR	LANÇAMENTO	1447.1		1	0			3R	3R INCORPORADORA	3R INCORPORADORA				3R INCORPORADORA		3R INCORPORADORA					GARDEN	2	0	1	1	48	72	7	7	3	327.861	160000	3333.33	163390.44	3403.96	167017.22	3479.52	162819.77	3392.08	185000	3854.17	428.571.428.571.429	571.428.571.428.571	3	4	1120000	Preço Fechado				43347";
"32270218	12	BELLA PARK		SOROCABA - SP	R COMENDADOR VICENTE AMARAL. 2750	JARDIM GUARUJA	SEM DISTRITO		SOROCABA	SP	18050-600	ZR 3	0	0	43160	43435	0	0	Res. Vertical	ECONOMICO	PADRAO MEDIO-S/ELEVADOR	LANÇAMENTO	1447.1		1	0			3R	3R INCORPORADORA	3R INCORPORADORA				3R INCORPORADORA		3R INCORPORADORA					2 DORMS	2	0	1	1	45	67.5	21	7	3	327.861	154000	3422.22	157263.3	3494.74	160754.07	3572.31	156714.03	3482.53	154000	3422.22	333.333.333.333.333	666.666.666.666.667	7	14	3234000	Preço Fechado				43347";
"38987317	13	BELLA VILLE		SOROCABA - SP	R HENRIQUE CARRARA AMARAL ROGICK. 751	LOPES DE OLIVEIRA	SEM DISTRITO		SOROCABA	SP	18071-307	ZR 3	0	0	42705	43435	0	0	Res. Horizontal	ECONOMICO	PADRAO MEDIO-S/ELEVADOR	EM OBRAS	7044.94		0	0		Playground.	HABITER	HABITER CONSTRUTORA E INCORPORADORA LTDA	HABITER CONSTRUTORA E INCORPORADORA LTDA				HABITER CONSTRUTORA E INCORPORADORA LTDA		IMOVEIS SOROCABA					GARDEN	2	0	1	1	46	69	35	0	2	171.185	130560	2838.26	139944.5	3042.27	137567.91	2990.61	137243.99	2983.56	142000	3086.96	457.142.857.142.857	542.857.142.857.143	16	19	4569600	Preço Fechado				43364";
"38987317	13	BELLA VILLE		SOROCABA - SP	R HENRIQUE CARRARA AMARAL ROGICK. 751	LOPES DE OLIVEIRA	SEM DISTRITO		SOROCABA	SP	18071-307	ZR 3	0	0	42705	43435	0	0	Res. Horizontal	ECONOMICO	PADRAO MEDIO-S/ELEVADOR	EM OBRAS	7044.94		0	0		Playground.	HABITER	HABITER CONSTRUTORA E INCORPORADORA LTDA	HABITER CONSTRUTORA E INCORPORADORA LTDA				HABITER CONSTRUTORA E INCORPORADORA LTDA		IMOVEIS SOROCABA					CASA	2	0	1	1	46	69	35	0	2	171.185	132480	2880	142002.51	3087.01	139590.97	3034.59	139262.28	3027.44	133000	2891.3	942.857.142.857.143	571.428.571.428.572	33	2	4636800	Preço Fechado				43364";
"362371014	14	BLUE AFONSO VERGUEIRO		SOROCABA - SP	AV DOUTOR AFONSO VERGUEIRO. 248	VILA AUGUSTA	SEM DISTRITO		SOROCABA	SP	18040-000		0	0	41821	42795	0	0	Flat/ Hotel		PADRAO MEDIO-C/ELEVADOR	EM OBRAS	1800		1	3		Academia. Quadra Poli-Esportiva. Churrasqueira. Piscina Adulta. Espaco Gourmet. Salao de Festas. Piscina Infantil. Playground. Fitness.	BRINK	BRINK INCORPORACOES E PARTICIPACOES	BRINK INCORPORACOES E PARTICIPACOES				BRINK INCORPORACOES E PARTICIPACOES		BRINK INCORPORACOES E PARTICIPACOES	MENDES ORTEGA ASSESSORIA IMOBILIARIA				1 DORM	1	0	1	1	44.88	77	136	16	11	222.465	167000	3721.03	206081.02	4591.82	212267.74	4729.67	195681.99	4360.11	175000	3899.29	100	0	136	0	22712000	Preço Fechado				42634";
"362371014	14	BLUE AFONSO VERGUEIRO		SOROCABA - SP	AV DOUTOR AFONSO VERGUEIRO. 248	VILA AUGUSTA	SEM DISTRITO		SOROCABA	SP	18040-000		0	0	41821	42795	0	0	Flat/ Hotel		PADRAO MEDIO-C/ELEVADOR	EM OBRAS	1800		1	3		Academia. Quadra Poli-Esportiva. Churrasqueira. Piscina Adulta. Espaco Gourmet. Salao de Festas. Piscina Infantil. Playground. Fitness.	BRINK	BRINK INCORPORACOES E PARTICIPACOES	BRINK INCORPORACOES E PARTICIPACOES				BRINK INCORPORACOES E PARTICIPACOES		BRINK INCORPORACOES E PARTICIPACOES	MENDES ORTEGA ASSESSORIA IMOBILIARIA				1 DORM	1	0	1	1	58.68	77.02	44	16	11	222.465	219600	3742.33	270990.37	4618.1	279125.72	4756.74	257315.96	4385.07	240000	4089.98	100	0	44	0	9662400	Preço Fechado				42577";
"3634512	15	BOSQUE DE CORDOBA	TORRE 1.2.3.4	SOROCABA - SP	AV DOM PEDRO I. 155	VILA HARO	SEM DISTRITO		SOROCABA	SP	18015-005		0	0	41609	42339	0	0	Res. Vertical	ECONOMICO	PADRAO MEDIO-C/ELEVADOR	EM OBRAS	12862.65		4	2		Quadra Gramada. Piscina Adulta. Salao de Festas. Piscina Infantil. Playground. Fitness.	MAGNUM	MAGNUM COMERCIAL E CONSTRUTORA LTDA	MAGNUM COMERCIAL E CONSTRUTORA LTDA				MAGNUM COMERCIAL E CONSTRUTORA LTDA		MAGNUM COMERCIAL E CONSTRUTORA LTDA					2 DORMS	2	0	1	1	50	75	128	4	8	234.512	141000	2820	184371.67	3687.43	182493.08	3649.86	174595.49	3491.91	188000	3760	100	0	128	0	18048000	Preço Fechado				42404";
"3633512	16	BOSQUE DE MADRID	TORRE 1.2.3.4	SOROCABA - SP	R MANOEL LOPES. 0	VILA HORTENCIA	SEM DISTRITO	INTERIOR	SOROCABA	SP	18020-218		0	0	41275	41913	0	0	Res. Vertical	ECONOMICO	PADRAO MEDIO-C/ELEVADOR	PRONTO	15000		4	2		Churrasqueira. Piscina Adulta. Espaco Gourmet. Piscina Infantil. Pista de Cooper. Playground.	MAGNUM	MAGNUM COMERCIAL E CONSTRUTORA LTDA	MAGNUM COMERCIAL E CONSTRUTORA LTDA				MAGNUM COMERCIAL E CONSTRUTORA LTDA		MAGNUM COMERCIAL E CONSTRUTORA LTDA					2 DORMS	2	0	1	1	50	75	128	4	8	203.108	136320	2726.4	190891.68	3817.83	185531.33	3710.63	181146.23	3622.92	150000	3000	100	0	128	0	17448960	Preço Fechado				41627";
